Country or area,Urban Agglomeration,Latitude,Longitude,Population (in thousands),Country Code,proportion dirty fuel,estimated population burning dirty fuels,proportion electricity access,proportion below $1 per day,estimated addressable population
Bangladesh,Dhaka,23.7104,90.4074,21006,BGD,0.41700000000000004,8759502.0,0.9780000305000001,0.0018262631037759,8551148
Nigeria,Lagos,6.4531,3.3958,14368,NGA,0.6679999999999999,9597824.0,0.8390000153,0.0351163685711153,7769797
United Republic of Tanzania,Dar es Salaam,-6.8235,39.2695,6702,TZA,0.8730000000000001,5850846.0,0.7290000153,0.052216437903432604,4042550
Philippines,Manila,14.6042,120.9822,13923,PHL,0.29,4037670.0,0.9823407745,0.000475071385882081,3964484
Democratic Republic of the Congo,Kinshasa,-4.3276,15.3136,14342,COD,0.8975,12871945.0,0.40659931180000003,0.29347778250743006,3697742
Ethiopia,Addis Ababa,9.025,38.7469,4794,ETH,0.691,3312654.0,0.932479248,0.0337404304922072,2984758
China,Shanghai,31.2222,121.4581,27058,CHN,0.10200000000000001,2759916.0,1.0,0.0,2759916
India,Delhi,28.6667,77.2167,30291,IND,0.079,2392989.0,1.0,0.0023652678315167997,2387329
Mali,Bamako,12.65,-8.0,2618,MLI,0.9690000000000001,2536842.0,0.9408895874,0.002629282585109599,2380612
Kenya,Nairobi,-1.2833,36.8167,4735,KEN,0.518,2452730.0,0.9398622131000001,0.0400045675761333,2213009
Nigeria,Kano,12.0001,8.5167,3999,NGA,0.6679999999999999,2671332.0,0.8390000153,0.0351163685711153,2162543
Cameroon,Yaoundé,3.8667,11.5167,3992,CMR,0.601,2399192.0,0.9402661133,0.0482372648765619,2147062
Spain,Madrid,40.4165,-3.7026,6618,ESP,0.324,2144232.0,1.0,0.0058107732501233,2131772
Pakistan,Karachi,24.9056,67.0822,16094,PAK,0.131,2108314.0,1.0,5.3788441201418994e-05,2108201
China,Beijing,39.9075,116.3972,20463,CHN,0.10200000000000001,2087226.0,1.0,0.0,2087226
Uganda,Kampala,0.3163,32.5822,3298,UGA,0.9745,3213901.0,0.6987100220000001,0.0733146923657345,2080950
Bangladesh,Chittagong,22.3331,91.8364,5020,BGD,0.41700000000000004,2093340.0,0.9780000305000001,0.0018262631037759,2043548
Cameroon,Douala,4.0483,9.7043,3663,CMR,0.601,2201463.0,0.9402661133,0.0482372648765619,1970112
Nigeria,Ibadan,7.3878,3.8964,3552,NGA,0.6679999999999999,2372736.0,0.8390000153,0.0351163685711153,1920818
Ghana,Kumasi,6.6885,-1.6244,3348,GHA,0.645,2159460.0,0.9471047974,0.0677460757717531,1906678
Haiti,Port-au-Prince,18.5392,-72.335,2774,HTI,0.898,2491052.0,0.8054474639999999,0.06051781764300021,1884988
Spain,Barcelona,41.3888,2.159,5586,ESP,0.324,1809864.0,1.0,0.0058107732501233,1799347
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,21782,MEX,0.08299999999999999,1807906.0,0.9980000305,0.0054642808223601,1794431
Nigeria,Abuja,9.0574,7.4898,3278,NGA,0.6679999999999999,2189704.0,0.8390000153,0.0351163685711153,1772647
Côte d'Ivoire,Abidjan,5.3453,-4.0268,5203,CIV,0.348,1810644.0,0.9447060394000001,0.0043369633511054,1703108
Pakistan,Lahore,31.5497,74.3436,12642,PAK,0.131,1656102.0,1.0,5.3788441201418994e-05,1656013
Nigeria,Port Harcourt,4.7774,7.0134,3020,NGA,0.6679999999999999,2017360.0,0.8390000153,0.0351163685711153,1633128
China,Chongqing,29.5628,106.5528,15872,CHN,0.10200000000000001,1618944.0,1.0,0.0,1618944
India,Mumbai (Bombay),19.074,72.8808,20411,IND,0.079,1612469.0,1.0,0.0023652678315167997,1608655
Guinea,Conakry,9.5716,-13.6476,1938,GIN,0.94,1821720.0,0.8808341217,0.0053869779712232,1595989
Senegal,Dakar,14.6937,-17.4441,3140,SEN,0.5315,1668910.0,0.9517642975,0.003972312397151,1582099
Ghana,Accra,5.556,-0.1969,2514,GHA,0.645,1621530.0,0.9471047974,0.0677460757717531,1431717
Viet Nam,Thành Pho Ho Chí Minh (Ho Chi Minh City),10.75,106.6667,8602,VNM,0.162,1393524.0,1.0,0.00043529444741465906,1392917
China,Tianjin,39.1088,117.1886,13589,CHN,0.10200000000000001,1386078.0,1.0,0.0,1386078
China,"Guangzhou, Guangdong",23.1255,113.2574,13302,CHN,0.10200000000000001,1356804.0,1.0,0.0,1356804
Madagascar,Antananarivo,-18.9137,47.5361,3369,MDG,0.9670000000000001,3257823.0,0.7016197205,0.43175709191748735,1298863
Togo,Lomé,6.1375,1.2123,1828,TGO,0.7730000000000001,1413044.0,0.9414375305,0.0360102459325512,1282388
China,Shenzhen,22.5415,114.0634,12357,CHN,0.10200000000000001,1260414.0,1.0,0.0,1260414
Zambia,Lusaka,-15.4134,28.2771,2774,ZMB,0.786,2180364.0,0.8238262177,0.3433091355889871,1179575
India,Kolkata (Calcutta),22.5335,88.356,14850,IND,0.079,1173150.0,1.0,0.0023652678315167997,1170375
Angola,Luanda,-8.8368,13.2343,8330,AGO,0.20700000000000002,1724310.0,0.7370891571,0.0880786613967893,1159025
Burkina Faso,Ouagadougou,12.3642,-1.5383,2780,BFA,0.627,1743060.0,0.6575390625,0.0219124802777808,1121015
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,2282,SOM,0.929,2119978.0,0.7012004089,0.249004286047433,1116377
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,5829,SDN,0.2285,1331926.0,0.8151765442,0.0086985068576302,1076310
Dem. People's Republic of Korea,P'yongyang,39.0339,125.7543,3084,PRK,0.794,2448696.0,0.4334545517,0.0,1061398
Myanmar,Yangon,16.8053,96.1561,5332,MMR,0.21,1119720.0,0.9303386688,0.000127508854952987,1041586
India,Bangalore,12.9719,77.5937,12327,IND,0.079,973833.0,1.0,0.0023652678315167997,971530
Thailand,Krung Thep (Bangkok),13.722,100.5252,10539,THA,0.092,969588.0,1.0,0.0,969588
Nigeria,Benin City,6.335,5.6275,1727,NGA,0.6679999999999999,1153636.0,0.8390000153,0.0351163685711153,933911
China,Chengdu,30.6667,104.0667,9136,CHN,0.10200000000000001,931872.0,1.0,0.0,931872
China,"Nanjing, Jiangsu",32.0482,118.7898,8847,CHN,0.10200000000000001,902394.0,1.0,0.0,902394
India,Chennai (Madras),13.0531,80.2488,10971,IND,0.079,866709.0,1.0,0.0023652678315167997,864659
China,Wuhan,30.5833,114.2667,8365,CHN,0.10200000000000001,853230.0,1.0,0.0,853230
China,"Xi'an, Shaanxi",34.2894,108.9402,8001,CHN,0.10200000000000001,816102.0,1.0,0.0,816102
Russian Federation,Moskva (Moscow),55.755,37.6218,12538,RUS,0.065,814970.0,1.0,0.0,814970
Mozambique,Matola,-25.9622,32.4589,1706,MOZ,0.8460000000000001,1443276.0,0.7496321869,0.2568505771373906,804033
India,Hyderabad,17.3753,78.4744,10004,IND,0.079,790316.0,1.0,0.0023652678315167997,788447
China,Hangzhou,30.2937,120.1614,7642,CHN,0.10200000000000001,779484.0,1.0,0.0,779484
Rwanda,Kigali,-1.9474,30.0579,1132,RWA,0.8859999999999999,1002952.0,0.8640000152999999,0.11266475106281672,768921
Nigeria,Onitsha,6.1454,6.7885,1415,NGA,0.6679999999999999,945220.0,0.8390000153,0.0351163685711153,765191
Viet Nam,Hà Noi,21.0245,105.8412,4678,VNM,0.162,757836.0,1.0,0.00043529444741465906,757506
China,Dongguan,23.0212,113.7414,7408,CHN,0.10200000000000001,755616.0,1.0,0.0,755616
China,Foshan,23.0228,113.12,7327,CHN,0.10200000000000001,747354.0,1.0,0.0,747354
China,Shenyang,41.7922,123.4328,7220,CHN,0.10200000000000001,736440.0,1.0,0.0,736440
China,"Suzhou, Jiangsu",31.3021,120.5853,7070,CHN,0.10200000000000001,721140.0,1.0,0.0,721140
Afghanistan,Kabul,34.5289,69.1725,4222,AFG,0.163,688186.0,0.995,0.0,684745
United Republic of Tanzania,Mwanza,-2.5167,32.9,1120,TZA,0.8730000000000001,977760.0,0.7290000153,0.052216437903432604,675568
Indonesia,Jakarta,-6.2118,106.8416,10770,IDN,0.06199999999999999,667740.0,0.9959999847000001,9.424091293893e-06,665063
Liberia,Monrovia,6.3005,-10.7969,1517,LBR,0.9794999999999999,1485902.0,0.4517257309,0.0264879434447947,653441
China,Haerbin,45.7563,126.6467,6387,CHN,0.10200000000000001,651474.0,1.0,0.0,651474
Congo,Brazzaville,-4.2658,15.2832,2388,COG,0.46,1098480.0,0.6600507355,0.10181618195927591,651230
Democratic Republic of the Congo,Mbuji-Mayi,-6.15,23.6,2525,COD,0.8975,2266188.0,0.40659931180000003,0.29347778250743006,651011
Democratic Republic of the Congo,Lubumbashi,-11.6609,27.4794,2478,COD,0.8975,2224005.0,0.40659931180000003,0.29347778250743006,638893
Guatemala,Ciudad de Guatemala (Guatemala City),14.6127,-90.5307,2935,GTM,0.226,663310.0,0.9745913695999999,0.0138138567930489,637526
India,Ahmadabad,23.0333,72.6167,8059,IND,0.079,636661.0,1.0,0.0023652678315167997,635155
Sierra Leone,Freetown,8.484,-13.2299,1202,SLE,0.9724999999999998,1168945.0,0.5469330978,0.0105596872867357,632584
Benin,Abomey-Calavi,6.4485,2.3557,1056,BEN,0.905,955680.0,0.6614538574,0.0108232315506268,625296
Nigeria,Uyo,5.0513,7.9335,1136,NGA,0.6679999999999999,758848.0,0.8390000153,0.0351163685711153,614316
Kenya,Mombasa,-4.0547,39.6636,1296,KEN,0.518,671328.0,0.9398622131000001,0.0400045675761333,605715
Nigeria,Kaduna,10.5222,7.4383,1113,NGA,0.6679999999999999,743484.0,0.8390000153,0.0351163685711153,601878
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.916,2078,KHM,0.29100000000000004,604698.0,0.9730000305000001,0.0,588371
Nigeria,Aba,5.1066,7.3667,1081,NGA,0.6679999999999999,722108.0,0.8390000153,0.0351163685711153,584573
China,Qingdao,36.0986,120.3719,5620,CHN,0.10200000000000001,573240.0,1.0,0.0,573240
China,Dalian,38.9138,121.6023,5618,CHN,0.10200000000000001,573036.0,1.0,0.0,573036
Nigeria,Nnewi,6.0199,6.9148,1051,NGA,0.6679999999999999,702068.0,0.8390000153,0.0351163685711153,568350
India,Surat,21.1667,72.8333,7185,IND,0.079,567615.0,1.0,0.0023652678315167997,566272
China,"Ji'nan, Shandong",36.6767,116.9971,5360,CHN,0.10200000000000001,546720.0,1.0,0.0,546720
